match_id,match_date,home_team,away_team,competition_stage,stadium,city,country,forecast_temperature_c,forecast_humidity_percent,forecast_precipitation_mm,forecast_heat_index_c,forecast_wet_bulb_c,forecast_wbgt_c,predicted_cooling_break,predicted_home_goals,predicted_away_goals,predicted_total_goals,probability_over_2_5_goals,win_probability,draw_probability,loss_probability,forecast_source
WC2026-041,2026-06-22,Argentina,Austria,Group Stage,AT&T Stadium,Arlington,USA,31.0,67.0,0.0,38.97,26.05,27.53,0,3.2,1.31,4.51,0.828,0.742,0.136,0.122,Open-Meteo Forecast API
WC2026-042,2026-06-22,France,Iraq,Group Stage,Lincoln Financial Field,Philadelphia,USA,29.7,60.0,0.0,34.07,23.73,25.52,0,1.58,0.81,2.39,0.428,0.556,0.252,0.192,Open-Meteo Forecast API
WC2026-043,2026-06-22,Norway,Senegal,Group Stage,MetLife Stadium,East Rutherford,USA,20.0,93.0,1.4,20.0,19.14,19.4,0,2.33,0.77,3.1,0.599,0.723,0.17,0.106,Open-Meteo Forecast API
WC2026-044,2026-06-22,Jordan,Algeria,Group Stage,Levi's Stadium,Santa Clara,USA,16.7,85.0,0.0,16.7,14.94,15.47,0,2.12,1.4,3.52,0.683,0.54,0.209,0.251,Open-Meteo Forecast API
WC2026-045,2026-06-23,Portugal,Uzbekistan,Group Stage,NRG Stadium,Houston,USA,33.3,55.0,0.0,40.02,26.07,28.24,1,3.27,1.37,4.64,0.842,0.741,0.135,0.125,Open-Meteo Forecast API
WC2026-046,2026-06-23,England,Ghana,Group Stage,Gillette Stadium,Foxborough,USA,21.7,79.0,0.0,21.7,19.03,19.83,0,2.92,0.59,3.51,0.681,0.843,0.109,0.049,Open-Meteo Forecast API
WC2026-047,2026-06-23,Panama,Croatia,Group Stage,BMO Field,Toronto,Canada,22.3,52.0,0.0,22.3,15.96,17.86,0,1.51,0.97,2.48,0.451,0.498,0.259,0.243,Open-Meteo Forecast API
WC2026-048,2026-06-23,Colombia,DR Congo,Group Stage,Estadio Akron,Zapopan,Mexico,18.1,92.0,0.2,18.1,17.14,17.43,0,3.1,0.71,3.81,0.733,0.84,0.106,0.055,Open-Meteo Forecast API
WC2026-049,2026-06-24,Switzerland,Canada,Group Stage,BC Place,Vancouver,Canada,23.7,54.0,0.0,23.7,17.47,19.34,0,1.97,0.45,2.42,0.436,0.738,0.187,0.074,Open-Meteo Forecast API
WC2026-050,2026-06-24,Bosnia-Herzegovina,Qatar,Group Stage,Lumen Field,Seattle,USA,26.7,42.0,0.0,27.63,18.12,20.69,0,1.93,0.56,2.49,0.454,0.702,0.2,0.098,Open-Meteo Forecast API
