match_id,match_date,home_team,away_team,total_goals,elo_difference,home_elo,away_elo,home_avg_goals_before,away_avg_goals_before,home_avg_conceded_before,away_avg_conceded_before,rain_flag,precipitation_mm,precipitation_bucket,temperature_c,temperature_bucket,humidity_percent,humidity_bucket,heat_index_c,heat_index_bucket,wet_bulb_temperature_c,wet_bulb_bucket,wbgt_c,wind_speed_kmh,cloud_cover_percent,pressure_hpa,cooling_break_flag,cooling_break_count,venue_type
WC2026-001,2026-06-11,Mexico,South Africa,,210,1890,1680,,,,,1.0,0.3,Light,16.8,Low,90.0,High,16.8,Low,15.62,Low,15.97,1.5,41.0,783.8,0.0,0.0,Open
WC2026-002,2026-06-11,South Korea,Czechia,,95,1840,1745,,,,,1.0,0.3,Light,24.5,Medium,55.0,Medium,24.5,Low,18.32,Medium,20.17,8.7,38.0,835.4,0.0,0.0,Open
WC2026-003,2026-06-12,Canada,Bosnia-Herzegovina,,165,1790,1625,,,,,0.0,0.0,None,26.0,Medium,41.0,Low,26.0,Low,17.37,Low,19.96,17.9,24.0,998.1,0.0,0.0,Open
WC2026-004,2026-06-12,USA,Paraguay,,265,1900,1635,,,,,0.0,0.0,None,27.4,Medium,46.0,Low,28.59,Medium,19.39,Medium,21.79,13.4,5.0,1004.8,0.0,0.0,Partial
WC2026-005,2026-06-13,Brazil,Morocco,,90,1985,1895,,,,,0.0,0.0,None,31.1,High,33.0,Low,31.1,Medium,19.88,Medium,23.25,11.8,13.0,1010.8,0.0,0.0,Open
WC2026-006,2026-06-13,Haiti,Scotland,,-80,1660,1740,,,,,0.0,0.0,None,28.5,Medium,36.0,Low,28.5,Medium,18.46,Medium,21.47,12.7,0.0,999.6,0.0,0.0,Open
WC2026-007,2026-06-13,Australia,Turkiye,,15,1835,1820,,,,,0.0,0.0,None,23.0,Medium,49.0,Low,23.0,Low,16.13,Low,18.19,12.0,41.0,1020.6,0.0,0.0,Covered
WC2026-008,2026-06-13,Qatar,Switzerland,,-235,1630,1865,,,,,0.0,0.0,None,25.8,Medium,46.0,Low,25.8,Low,18.04,Medium,20.37,14.8,0.0,1009.2,0.0,0.0,Open
WC2026-009,2026-06-14,Germany,Curacao,,340,1950,1610,,,,,1.0,0.2,Light,30.4,High,76.0,High,40.6,High,26.9,High,27.95,9.7,100.0,1012.2,0.0,0.0,Covered
WC2026-010,2026-06-14,Ivory Coast,Ecuador,,-45,1755,1800,,,,,0.0,0.0,None,30.5,High,44.0,Low,31.81,Medium,21.63,Medium,24.29,16.2,77.0,1011.3,0.0,0.0,Open
WC2026-011,2026-06-14,Netherlands,Japan,,85,1955,1870,,,,,0.0,0.0,None,27.8,Medium,72.0,High,33.13,Medium,23.84,Medium,25.03,17.3,27.0,992.4,0.0,0.0,Covered
